longitude,latitude,land_use_Barren Land (Rock/Sand/Clay),land_use_Cultivated Crops,land_use_Deciduous Forest,land_use_Developed High Intensity,"land_use_Developed, Low Intensity","land_use_Developed, Medium Intensity","land_use_Developed, open space",land_use_Emergent Herbaceous Wetlands,land_use_Evergreen Forest,land_use_Grassland/Herbaceous,land_use_Mixed Forest,land_use_Open Water,land_use_Pasture/Hay,land_use_Shrub/Scrub,land_use_Unknown,land_use_Woody Wetlands
-95.78728,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.77133,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.75538,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.73943,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.72348,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.70753,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.69158,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.67563,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.65968,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.64373,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.62778,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.61183,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.59588,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.57993,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.56398,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.54803,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.53208,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.51613,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-95.50018,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.48423,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.46828,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.45233,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.43638,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.42043,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-95.40448,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-95.38853,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.37258,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.35663,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.34068,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.32473,28.94166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.30878,28.94166,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.29283,28.94166,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-95.27688,28.94166,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-95.26093,28.94166,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-95.24498,28.94166,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-95.22903,28.94166,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-95.21308,28.94166,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-95.19713,28.94166,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-95.18118,28.94166,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-95.16523,28.94166,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-95.14928,28.94166,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-95.13333,28.94166,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-95.11738,28.94166,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-95.10143,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.08548,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.06953,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.05358,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.03763,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.02168,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.00573,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.98978,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.97383,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.95788,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.94193,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.92598,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.91003,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.89408,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.87813,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.86218,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.84623,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.83028,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.81433,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.79838,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.78243,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.76648,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.75053,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.73458,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.71863,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.70268,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.68673,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.67078,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.65483,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.63888,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.62293,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.60698,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.59103,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.57508,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.55913,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.54318,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.52723,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.51128,28.94166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.09033,28.95722,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.07438,28.95722,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.05843,28.95722,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.04248,28.95722,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
